fdc_id,description,category,ingredients,serving_description,serving_size_g,Ash (G),"Calcium, Ca (G)","Carbohydrate, by difference (G)","Copper, Cu (G)",Energy (Atwater General Factors) (KCAL),Energy (Atwater Specific Factors) (KCAL),"Fiber, total dietary (G)","Iron, Fe (G)","Magnesium, Mg (G)","Manganese, Mn (G)",Niacin (G),Nitrogen (G),"Phosphorus, P (G)","Potassium, K (G)",Protein (G),"Sodium, Na (G)",Thiamin (G),Total lipid (fat) (G),Vitamin B-6 (G),Water (G),"Zinc, Zn (G)"
325430,"Peaches, yellow, raw",Fruits and Fruit Juices,[],1.0 serving,147.0000,0.6321,0.0059,14.8470,0.0001,67.6200,61.7400,2.2050,0.0005,0.0118,0.0000,0.0012,0.2205,0.0323,0.1793,1.3377,0.0191,0.0000,0.3969,0.0000,129.8010,0.0003
324860,"Peanut butter, smooth style, with salt",Legumes and Legume Products,[],1.0 cup,258.0000,7.5078,0.1264,57.5340,0.0011,1648.6200,1540.2600,12.3840,0.0045,0.4360,0.0043,0.0343,10.6038,0.8746,1.4551,58.0500,1.1068,0.0004,131.8380,0.0011,3.0444,0.0066
324860,"Peanut butter, smooth style, with salt",Legumes and Legume Products,[],2.0 tablespoon,32.0000,0.9312,0.0157,7.1360,0.0001,204.4800,191.0400,1.5360,0.0006,0.0541,0.0005,0.0043,1.3152,0.1085,0.1805,7.2000,0.1373,0.0000,16.3520,0.0001,0.3776,0.0008
746773,"Pears, raw, bartlett",Fruits and Fruit Juices,[],1.0 cup,140.0000,0.4200,0.0112,21.1400,0.0001,88.2000,79.8000,4.3400,0.0002,0.0080,0.0000,0.0002,0.0840,0.0140,0.1218,0.5320,0.0098,0.0000,0.2240,0.0000,117.7400,0.0001
746773,"Pears, raw, bartlett",Fruits and Fruit Juices,[],1.0 each,148.0000,0.4440,0.0118,22.3480,0.0001,93.2400,84.3600,4.5880,0.0003,0.0084,0.0000,0.0002,0.0888,0.0148,0.1288,0.5624,0.0104,0.0000,0.2368,0.0000,124.4680,0.0001
746773,"Pears, raw, bartlett",Fruits and Fruit Juices,[],1.0 each,178.0000,0.5340,0.0142,26.8780,0.0001,112.1400,101.4600,5.5180,0.0003,0.0101,0.0001,0.0003,0.1068,0.0178,0.1549,0.6764,0.0125,0.0000,0.2848,0.0000,149.6980,0.0001
746773,"Pears, raw, bartlett",Fruits and Fruit Juices,[],1.0 each,230.0000,0.6900,0.0184,34.7300,0.0002,144.9000,131.1000,7.1300,0.0004,0.0131,0.0001,0.0004,0.1380,0.0230,0.2001,0.8740,0.0161,0.0000,0.3680,0.0001,193.4300,0.0002
332597,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",Fruits and Fruit Juices,[],1.0 cup,140.0000,0.4200,0.0112,21.1400,0.0001,-1.0000,-1.0000,4.3400,0.0002,0.0080,0.0000,0.0002,0.0840,0.0140,0.1218,0.5320,0.0098,0.0000,0.2240,0.0000,117.7400,0.0001
332597,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",Fruits and Fruit Juices,[],1.0 each,148.0000,0.4440,0.0118,22.3480,0.0001,-1.0000,-1.0000,4.5880,0.0003,0.0084,0.0000,0.0002,0.0888,0.0148,0.1288,0.5624,0.0104,0.0000,0.2368,0.0000,124.4680,0.0001
332597,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",Fruits and Fruit Juices,[],1.0 each,178.0000,0.5340,0.0142,26.8780,0.0001,-1.0000,-1.0000,5.5180,0.0003,0.0101,0.0001,0.0003,0.1068,0.0178,0.1549,0.6764,0.0125,0.0000,0.2848,0.0000,149.6980,0.0001
